commit,dataset,regime,arm,repetition,tree_height,index_nodes,leaf_nodes,total_nodes,objects,mean_leaf_entries,min_leaf_entries,max_leaf_entries,mean_leaf_fill,mean_leaf_radius,min_leaf_radius,max_leaf_radius,sibling_pairs,overlapping_pairs,overlap_ratio,mean_abs_overlap,fat_factor,relative_fat_factor
5ede674,brcities5507,uniforme,etapa1,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.56575,0.08,16.5593,2823,918,0.325186,2.62146,0.14173,0.32179
5ede674,brcities5507,uniforme,etapa2,4,4,41,434,475,5507,12.6889,2,25,0.5335,0.9787,0.1,12.563,2863,915,0.319595,0.656238,0.0269653,0.0785847
5ede674,brcities5507,uniforme,etapa2_data,4,4,41,424,465,5507,12.9882,2,25,0.545945,0.97855,0.02,12.5855,2866,945,0.329728,0.612269,0.0212465,0.0619162
5ede674,brcities5507,uniforme,original,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.71442,0.170294,16.5593,2823,970,0.343606,2.71172,0.14804,0.33586
5ede674,brcities5507,uniforme,slimdown,4,4,27,351,378,5507,15.6895,1,25,0.65827,3.4761,0,16.5593,2607,805,0.308784,2.65754,0.139365,0.304503
5ede674,brcities5507,uniforme,etapa1,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.55387,0.170294,16.5593,2823,919,0.32554,2.61451,0.141278,0.320782
5ede674,brcities5507,uniforme,etapa2,4,4,41,434,475,5507,12.6889,2,25,0.5335,0.9787,0.1,12.563,2863,915,0.319595,0.656238,0.0269653,0.0785847
5ede674,brcities5507,uniforme,etapa2_data,4,4,41,424,465,5507,12.9882,2,25,0.545945,0.97855,0.02,12.5855,2866,945,0.329728,0.612269,0.0212465,0.0619162
5ede674,brcities5507,concentrado,original,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.71442,0.170294,16.5593,2823,970,0.343606,2.71172,0.14804,0.33586
5ede674,brcities5507,concentrado,slimdown,4,4,27,351,378,5507,15.6895,1,25,0.65827,3.4761,0,16.5593,2607,805,0.308784,2.65754,0.139365,0.304503
5ede674,brcities5507,concentrado,etapa1,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.6701,0.170294,16.5593,2823,955,0.338293,2.68241,0.146237,0.331841
5ede674,brcities5507,concentrado,etapa2,4,4,47,435,482,5507,12.6598,2,24,0.532287,0.974503,0.04,10.7003,2648,853,0.32213,0.614319,0.0220314,0.0661439
5ede674,brcities5507,concentrado,etapa2_data,4,4,39,426,465,5507,12.9272,2,25,0.543409,0.966329,0.0583095,7.77651,2980,983,0.329866,0.530431,0.0197689,0.05801
5ede674,brcities5507,concentrado,original,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.71442,0.170294,16.5593,2823,970,0.343606,2.71172,0.14804,0.33586
5ede674,brcities5507,concentrado,slimdown,4,4,27,351,378,5507,15.6895,1,25,0.65827,3.4761,0,16.5593,2607,805,0.308784,2.65754,0.139365,0.304503
5ede674,brcities5507,concentrado,etapa1,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.67015,0.170294,16.5593,2823,954,0.337938,2.68064,0.146068,0.331462
5ede674,brcities5507,concentrado,etapa2,4,4,47,435,482,5507,12.6598,2,24,0.532287,0.974503,0.04,10.7003,2648,853,0.32213,0.614319,0.0220314,0.0661439
